images\000000000000.tif labels\000000000000.xml
images\000000000001.tif labels\000000000001.xml
images\000000000002.tif labels\000000000002.xml
images\000000000003.tif labels\000000000003.xml
images\000000000004.tif labels\000000000004.xml
images\000000000005.tif labels\000000000005.xml
images\000000000006.tif labels\000000000006.xml
images\000000000007.tif labels\000000000007.xml
images\000000000008.tif labels\000000000008.xml
images\000000000009.tif labels\000000000009.xml
images\000000000010.tif labels\000000000010.xml
images\000000000011.tif labels\000000000011.xml
images\000000000012.tif labels\000000000012.xml
images\000000000013.tif labels\000000000013.xml
images\000000000014.tif labels\000000000014.xml
images\000000000015.tif labels\000000000015.xml
images\000000000016.tif labels\000000000016.xml
images\000000000017.tif labels\000000000017.xml
images\000000000018.tif labels\000000000018.xml
images\000000000019.tif labels\000000000019.xml
images\000000000020.tif labels\000000000020.xml
images\000000000021.tif labels\000000000021.xml
images\000000000022.tif labels\000000000022.xml
images\000000000023.tif labels\000000000023.xml
images\000000000024.tif labels\000000000024.xml
images\000000000025.tif labels\000000000025.xml
images\000000000026.tif labels\000000000026.xml
images\000000000027.tif labels\000000000027.xml
images\000000000028.tif labels\000000000028.xml
images\000000000029.tif labels\000000000029.xml
images\000000000030.tif labels\000000000030.xml
images\000000000031.tif labels\000000000031.xml
images\000000000032.tif labels\000000000032.xml
images\000000000033.tif labels\000000000033.xml
images\000000000034.tif labels\000000000034.xml
images\000000000035.tif labels\000000000035.xml
images\000000000036.tif labels\000000000036.xml
images\000000000037.tif labels\000000000037.xml
images\000000000038.tif labels\000000000038.xml
images\000000000039.tif labels\000000000039.xml
images\000000000040.tif labels\000000000040.xml
images\000000000041.tif labels\000000000041.xml
images\000000000042.tif labels\000000000042.xml
images\000000000043.tif labels\000000000043.xml
images\000000000044.tif labels\000000000044.xml
images\000000000045.tif labels\000000000045.xml
images\000000000046.tif labels\000000000046.xml
images\000000000047.tif labels\000000000047.xml
images\000000000048.tif labels\000000000048.xml
images\000000000049.tif labels\000000000049.xml
images\000000000050.tif labels\000000000050.xml
images\000000000051.tif labels\000000000051.xml
images\000000000052.tif labels\000000000052.xml
