epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.99564,1.68227,6.49928,4.05103,1.91334,0,0.00142,0.3625,0.00902,0.00356,0.0019,0.625,0.00878,0.00317,1.8042,3.34753,3.93485,1.97076,0,0.0001875,0.0001875,0.0001875
2,11.0067,1.56711,2.58844,3.99601,1.79411,0,0.00218,0.7,0.01808,0.00653,0.00189,0.55,0.01745,0.00629,1.76419,3.3178,3.91928,1.77027,0,0.000379828,0.000379828,0.000379828
3,14.7039,1.43181,1.26508,3.70161,1.65731,0,0.0022,0.7,0.03821,0.01644,0.00211,0.5625,0.04075,0.01777,1.83345,2.7756,3.87639,1.88333,0,0.000564235,0.000564235,0.000564235
4,18.3991,1.56999,0.84614,3.7107,1.76123,0,0.00237,0.6,0.0397,0.01705,0.0023,0.575,0.03913,0.01745,1.90188,2.27366,3.83668,1.96442,0,0.000740722,0.000740722,0.000740722
5,22.6221,1.50466,0.59859,3.56158,1.7256,0,0.00232,0.65,0.06252,0.03098,0.0024,0.6625,0.06604,0.02983,2.22311,3.50204,3.61728,2.21669,0,0.00090929,0.00090929,0.00090929
6,27.37,1.51627,0.52772,3.36288,1.72597,0,0.59637,0.0875,0.08421,0.04331,0.59637,0.0875,0.09053,0.04684,1.81339,4.84897,3.36469,2.08283,0,0.00106994,0.00106994,0.00106994
7,31.4954,1.52832,0.5231,3.24478,1.75824,0,0.58323,0.1625,0.07904,0.0386,0.58323,0.1625,0.08089,0.0384,1.97618,2.44987,3.8454,2.25649,0,0.0011015,0.0011015,0.0011015
8,35.4795,1.49389,0.52506,3.10652,1.71359,0,0.6187,0.2,0.08222,0.04347,0.6187,0.2,0.08151,0.04414,1.90267,0.89803,3.8713,2.09328,0,0.00107675,0.00107675,0.00107675
9,39.0337,1.40753,0.52855,2.95613,1.64744,0,0.5705,0.1125,0.05458,0.02241,0.5705,0.1125,0.055,0.02299,2.06772,0.74675,4.1898,2.26659,0,0.001052,0.001052,0.001052
10,42.8824,1.51873,0.47158,2.92169,1.6858,0,0.64899,0.175,0.12027,0.05281,0.64899,0.175,0.12099,0.05032,1.51774,0.62998,3.94098,1.81314,0,0.00102725,0.00102725,0.00102725
11,46.5819,1.59104,0.49448,3.04363,1.74384,0,0.55493,0.1875,0.07481,0.03844,0.55493,0.1875,0.07474,0.04229,1.57283,0.51808,4.83179,1.71989,0,0.0010025,0.0010025,0.0010025
12,50.0759,1.54298,0.51931,2.88913,1.71376,0,0.55985,0.2,0.10123,0.06019,0.55985,0.2,0.10314,0.06033,1.2285,0.51847,10.3517,1.49178,0,0.00097775,0.00097775,0.00097775
13,53.7536,1.41648,0.41086,2.70139,1.62253,0,0.7993,0.175,0.23331,0.14563,0.81625,0.1875,0.24158,0.14857,1.25654,0.55487,2.17193,1.57009,0,0.000953,0.000953,0.000953
14,57.5002,1.43506,0.56445,2.73793,1.67987,0,0.70377,0.225,0.22459,0.13687,0.70377,0.225,0.22664,0.13044,1.24473,0.53771,2.86593,1.6257,0,0.00092825,0.00092825,0.00092825
15,61.1437,1.488,0.54934,2.735,1.66328,0,0.72769,0.225,0.25161,0.1592,0.74114,0.25,0.26641,0.16446,1.20566,0.47325,3.03355,1.59582,0,0.0009035,0.0009035,0.0009035
16,64.6476,1.39454,0.50942,2.62498,1.6251,0,0.7569,0.24444,0.23689,0.11814,0.7569,0.24444,0.23689,0.12531,1.32158,0.49138,2.7549,1.58011,0,0.00087875,0.00087875,0.00087875
17,68.2069,1.41514,0.47276,2.59357,1.62264,0,0.80457,0.225,0.24347,0.13341,0.80457,0.225,0.24809,0.13998,1.4136,0.46733,2.02972,1.59255,0,0.000854,0.000854,0.000854
18,71.9096,1.41637,0.39336,2.62399,1.67122,0,0.74037,0.2729,0.31536,0.18055,0.74037,0.2729,0.32011,0.18358,1.44876,0.44046,1.94771,1.54885,0,0.00082925,0.00082925,0.00082925
19,75.5487,1.34463,0.54722,2.51951,1.56239,0,0.82527,0.275,0.36064,0.24668,0.82527,0.275,0.37154,0.25738,1.31555,0.4201,1.8342,1.48248,0,0.0008045,0.0008045,0.0008045
20,79.1227,1.26724,0.4308,2.40318,1.5401,0,0.48144,0.425,0.40474,0.28514,0.48144,0.425,0.40474,0.29605,1.18766,0.41929,1.87197,1.41999,0,0.00077975,0.00077975,0.00077975
21,82.8101,1.28273,0.43929,2.30201,1.49282,0,0.70283,0.36197,0.26906,0.19554,0.70283,0.36197,0.26906,0.19634,1.16813,0.48465,1.90108,1.41996,0,0.000755,0.000755,0.000755
